Disney_Period,Text,Speaker_Status,Movie,Speaker,Year,UTTERANCE_NUMBER
EARLY,and just look at that fireplace. it's covered with dust. ,PRINCESS,Snow White ,snow white,1937,41
EARLY,"and just look at that broom. tsk, tsk, tsk ! tsk, tsk, tsk ! why, they've never swept this room. you'd think their mother would ",PRINCESS,Snow White ,snow white,1937,42
EARLY,"maybe they have no mother. then, they're orphans. that's too bad. i know. we'll clean the house and surprise them. then, maybe they'll let me stay. ",PRINCESS,Snow White ,snow white,1937,43
EARLY,"now, you wash the dishes. you tidy up the room. you clean the fireplace. and i'll use the broom. ",PRINCESS,Snow White ,snow white,1937,44
EARLY,"we dig, dig, dig, dig dig, dig, dig in our mine the whole day through to dig, dig, dig, dig dig, dig, dig is what we like to do it ain't no trick to get rich quick if ya dig, dig, dig with a shovel or a pick in a mine ",NON-P,Snow White ,all dwarfs,1937,45
EARLY,in a mine in a mine ,NON-P,Snow White ,all dwarfs,1937,46
EARLY,in a mine where a million diamonds ,NON-P,Snow White ,all dwarfs,1937,47
EARLY,"shine we dig, dig, dig, dig dig, dig, dig ",NON-P,Snow White ,all dwarfs,1937,48
EARLY,from early morn 'til night ,NON-P,Snow White ,all dwarfs,1937,49
EARLY,"we dig, dig, dig, dig dig, dig, dig up everything in sight we dig up diamonds by the score ",NON-P,Snow White ,all dwarfs,1937,50
EARLY,a thousand rubies sometimes more though we don't know what we dig 'em for ,NON-P,Snow White ,all dwarfs,1937,51
EARLY,"we dig, dig digadig, dig heighho, heighho, heighho, heighho, heighho, heighho, heighho it's home from work we go heighho, heighho, heighho, heighho, heighho it's home from work we go ",NON-P,Snow White ,all dwarfs,1937,52
EARLY,"heighho, heighho heighho, heighho, heighho, heighho heighho, heighho, heighhohum heighho, heighho it's home from work we go ",NON-P,Snow White ,all dwarfs,1937,53
EARLY,"heighho, heighho, heighho, heighho, heighho it's home from work we go heighho, heighho, heighho, heighho, heighho it's home from work we go heighho, heighho, heighho, heighho ",NON-P,Snow White ,all dwarfs,1937,54
EARLY,let's see what's upstairs. ,PRINCESS,Snow White ,snow white,1937,55
EARLY,"oh, what adorable little beds. and look, they have their names carved on them. doc, happy, sneezy, dopey ",PRINCESS,Snow White ,snow white,1937,56
EARLY,"what funny names for children. grumpy, bashful and sleepy. i'm a little sleepy myself. oh, oh. ",PRINCESS,Snow White ,snow white,1937,57
EARLY,"heighho, heighho heighho, heighho heighho, heighho it's home from work we go ",NON-P,Snow White ,all dwarfs,1937,58
EARLY,"heighho, heighho heighho, heighho, heighho it's home from work we go ",NON-P,Snow White ,all dwarfs,1937,59
EARLY,"heighho, heighho heighho, heighho, heighho it's home from work we go ",NON-P,Snow White ,all dwarfs,1937,60
EARLY,"heighho, heighho heighho, heighho it's home from work we go ",NON-P,Snow White ,all dwarfs,1937,61
EARLY,"heighho, heighho heigh ",NON-P,Snow White ,all dwarfs,1937,62
EARLY,"look ! our house ! the lit's lightuh, the light's lit. ",NON-P,Snow White ,doc,1937,63
EARLY,"jiminy crickets. the door is open. the chimney's smokin'. something's in there. maybe a ghost. or a goblin. a demon. or a dragon. grumpy; mark my words, there's trouble abrewin'. felt it comin' all day. my corns hurt. ",NON-P,Snow White ,all dwarfs,1937,64
EARLY,gosh. ,NON-P,Snow White ,happy,1937,65
EARLY,that's a bad sign. ,NON-P,Snow White ,bashful,1937,66
EARLY,what'll we do ? let's sneak up on it. ,NON-P,Snow White ,all dwarfs,1937,67
EARLY,"yes. ahem, we'll, uh, squeak up sneak up. come on, henuh, men. follow me. psst. ",NON-P,Snow White ,doc,1937,68
EARLY,shh ! ,NON-P,Snow White ,all dwarfs,1937,69
EARLY,shh ! ,NON-P,Snow White ,dopey,1937,70
EARLY,"careful, men. search every cook and nanny uh, hook and grannyuh, crooked fanuh, search everywhere. ",NON-P,Snow White ,doc,1937,71
EARLY,shh ! quiet. look ! the floor ! it's been swept ! ,NON-P,Snow White ,doc,1937,72
EARLY,hah ! chair's been dusted. ,NON-P,Snow White ,grumpy,1937,73
EARLY,our window's been washed. ,NON-P,Snow White ,happy,1937,74
EARLY,"gosh, our cobwebs are missin'. ",NON-P,Snow White ,bashful,1937,75
EARLY,"why, why, whywhy, the whole place is clean ! ",NON-P,Snow White ,doc,1937,76
EARLY,there's dirty work afoot. ,NON-P,Snow White ,grumpy,1937,77
EARLY,"sink's empty. hey, someone stole our dishes ! ",NON-P,Snow White ,sneey,1937,78
EARLY,they ain't stole. they're hid in the cupboard. ,NON-P,Snow White ,happy,1937,79
EARLY,my cup's been washed. sugar's gone. ,NON-P,Snow White ,bashful,1937,80
EARLY,something's cookin'. ,NON-P,Snow White ,happy,1937,81
EARLY,"don't touch it, you fools ! might be poison. ",NON-P,Snow White ,grumpy,1937,82
EARLY,see ? it's witch's brew. ,NON-P,Snow White ,grumpy,1937,83
EARLY,"look what's happened to our stableuh, table. ",NON-P,Snow White ,doc,1937,84
EARLY,flowers ! ,NON-P,Snow White ,bashful,1937,85
EARLY,"huh ? look, goldenrod. ",NON-P,Snow White ,bashful,1937,86
EARLY,don't do it. take them away. my nose ! my hay fever ! you know i can't stand it. ,NON-P,Snow White ,sneezy,1937,87
EARLY,i can't i oh ! ,NON-P,Snow White ,i can't ,1937,88
EARLY,shh ! ,NON-P,Snow White ,all dwarfs,1937,89
EARLY,ya crazy fool ! fine time ya picked to sneeze ! ,NON-P,Snow White ,grumpy,1937,90
EARLY,"i couldn't help it. i can't tell. when you gotta, you gotta. iii gotta. iit's comin'. ahah ",NON-P,Snow White ,sneezy,1937,91
EARLY,don't let him. stop him. ,NON-P,Snow White ,all dwarfs,1937,92
EARLY,"oh, ahahah ",NON-P,Snow White ,sneezy,1937,93
EARLY,"don't let go. hold him tight. i'll tie it. make a hard knot. there, that'll hold him. ",NON-P,Snow White ,various dwarfs,1937,94
EARLY,shh ! ,NON-P,Snow White ,all dwarfs,1937,95
EARLY,"quiet, you fool. want to get us all killed ? ",NON-P,Snow White ,grumpy,1937,96
EARLY,whawhat's that ? that's it. ,NON-P,Snow White ,happy,1937,97
EARLY,sounded close. it's in this room right now. ,NON-P,Snow White ,grumpy,1937,98
EARLY,it's up there. ,NON-P,Snow White ,doc,1937,99
EARLY,"yeah, in the bedroom. ",NON-P,Snow White ,bashful,1937,100
EARLY,"one of us has got to go down... and chase it up. uh, uh, uh, up, down. here, take it. don't be nervous. ",NON-P,Snow White ,doc,1937,101
EARLY,don't be afraid. we're right behind you. ,NON-P,Snow White ,doc,1937,102
EARLY,"yes, right behind ya. ",NON-P,Snow White ,all dwarfs,1937,103
EARLY,here it comes ! ,NON-P,Snow White ,doc,1937,104
EARLY,it's after us ! don't let it out ! hold it shut ! ,NON-P,Snow White ,all dwarfs,1937,105
EARLY,"here it comes. now's our chance. get it, now. give it to 'im. don't let him get away ! take that, and that, and that ! ",NON-P,Snow White ,various dwarfs,1937,106
EARLY,"hold on there, iit's only dopey. ",NON-P,Snow White ,doc,1937,107
EARLY,did you see it ? how big is it ? was it a dragon ? has it got horns ? was it breathing fire ? was it droolin' ? what was it doin' ? ,NON-P,Snow White ,various dwarfs,1937,108
EARLY,he's says it's... a monster... asleep in our beds ! ,NON-P,Snow White ,doc,1937,109
EARLY,let's attack. while it's sleeping. ,NON-P,Snow White ,grumpy,1937,110
EARLY,"yeah, while it's sleeping. ",NON-P,Snow White ,all dwarfs,1937,111
EARLY,"hurry, men, it's now or never. ",NON-P,Snow White ,doc,1937,112
EARLY,off with its head. break its bones. chop it to pieces. we'll kill it dead. ,NON-P,Snow White ,all dwarfs,1937,113
EARLY,"jiminy crickets. gosh ! gee, what a monster. covers three beds. ",NON-P,Snow White ,various dwarfs,1937,114
EARLY,let's kill it before it wakes up. ,NON-P,Snow White ,doc,1937,115
EARLY,which end do we kill ? ,NON-P,Snow White ,happy,1937,116
EARLY,shh ! shh ! ,NON-P,Snow White ,doc,1937,117
EARLY,"well, uh, uh ",NON-P,Snow White ,doc,1937,118
EARLY,what is it ? ,NON-P,Snow White ,happy,1937,119
EARLY,"why, iit's a girl ! ",NON-P,Snow White ,doc,1937,120
EARLY,she's mighty pretty. ,NON-P,Snow White ,sneezy,1937,121
EARLY,she's beautiful. just like a angel. ,NON-P,Snow White ,bashful,1937,122
EARLY,"angel, hah ! she's a female ! and all females is poison ! they're full of wicked wiles ! ",NON-P,Snow White ,grumpy,1937,123
EARLY,what are wicked wiles? ,NON-P,Snow White ,bashful,1937,124
EARLY,"i don't know, but i'm agin'em. ",NON-P,Snow White ,grumpy,1937,125
EARLY,shh ! not so loud. you'll wake her up. ,NON-P,Snow White ,doc,1937,126
EARLY,"aw, let her wake up ! she don't belong here nohow ! ",NON-P,Snow White ,grumpy,1937,127
EARLY,look out. she's movin'. ,NON-P,Snow White ,sneezy,1937,128
EARLY,she's wakin' up. ,NON-P,Snow White ,happy,1937,129
EARLY,what do we do ? ,NON-P,Snow White ,sneezy,1937,130
EARLY,hide ! ,NON-P,Snow White ,doc,1937,131
EARLY,"oh, dear ! i wonder if the children are oh ! whywhy, you're little men. how do you do ? i said, how do you do ? ",PRINCESS,Snow White ,snow white,1937,132
EARLY,how do ya do what ? ,NON-P,Snow White ,grumpy,1937,133
EARLY,"oh, you can talk. i'm so glad. now, don't tell me who you are. let me guess. i know, you're doc. ",PRINCESS,Snow White ,snow white,1937,134
EARLY,"whywhywhy, yes ! yes ! that's true. ",NON-P,Snow White ,doc,1937,135
EARLY,and you'reyou're bashful. ,PRINCESS,Snow White ,snow white,1937,136
EARLY,"oh, gosh ! ",NON-P,Snow White ,bashful,1937,137
EARLY,"and, you ? you're sleepy. ",PRINCESS,Snow White ,snow white,1937,138
EARLY,how'd you guess ? ,NON-P,Snow White ,sleepy,1937,139
EARLY,and you ? ,PRINCESS,Snow White ,snow white,1937,140
EARLY,ahahahah ,NON-P,Snow White ,sneezy,1937,141
EARLY,you're sneezy. ,PRINCESS,Snow White ,snow white,1937,142
EARLY,ahchoo ! ,NON-P,Snow White ,sneezy,1937,143
EARLY,"yes, and you must be ",PRINCESS,Snow White ,snow white,1937,144
EARLY,"happy, ma'am. that's me. and this is dopey. he don't talk none. ",NON-P,Snow White ,happy,1937,145
EARLY,you mean he can't talk ? ,PRINCESS,Snow White ,snow white,1937,146
EARLY,he don't know. he never tried. ,NON-P,Snow White ,happy,1937,147
EARLY,"oh, that's too bad. ",PRINCESS,Snow White ,snow white,1937,148
EARLY,"oh, you must be grumpy. ",PRINCESS,Snow White ,snow white,1937,149
EARLY,"oh, yeah. ",NON-P,Snow White ,doc,1937,150
EARLY,hah ! we know who we are. ask her who she is and what she's adoin' here ! ,NON-P,Snow White ,grumpy,1937,151
EARLY,"hmph ! yes ! what are you and who are you doin' ? uh, uh, what are you uh, who are you, my dear ? ",NON-P,Snow White ,doc,1937,152
EARLY,"oh, how silly of me. i'm snow white. ",PRINCESS,Snow White ,snow white,1937,153
EARLY,snow white ? the princess ? ,NON-P,Snow White ,all dwarfs,1937,154
EARLY,yes. ,PRINCESS,Snow White ,snow white,1937,155
EARLY,"well, my dear quincess uh, princess. we're, uhwe're honored. yes, we're ",NON-P,Snow White ,doc,1937,156
EARLY,mad as hornets ! ,NON-P,Snow White ,grumpy,1937,157
EARLY,"mad as hornets ! no, no, we're not ! we're bad as cornetsno, no, as bad aswhat was i sayin' ? ",NON-P,Snow White ,doc,1937,158
EARLY,nothin' ! just standin' there sputterin' like a doodlebug ! ,NON-P,Snow White ,grumpy,1937,159
EARLY,"who's butterin' like a spoodledug ? who's, uh, uh ",NON-P,Snow White ,doc,1937,160
EARLY,"aw, shut up ! and tell her to git out ! ",NON-P,Snow White ,grumpy,1937,161
EARLY,"please, don't send me away. if you do, she'll kill me. ",PRINCESS,Snow White ,snow white,1937,162
EARLY,kill you ? ,NON-P,Snow White ,all dwarfs,1937,163
EARLY,"who will ? yes, who ? ",NON-P,Snow White ,various dwarfs,1937,164
EARLY,"my stepmother, the queen. ",PRINCESS,Snow White ,snow white,1937,165
EARLY,the queen ! she's wicked. ,NON-P,Snow White ,all dwarfs,1937,166
EARLY,she's bad. ,NON-P,Snow White ,happy,1937,167
EARLY,she's mighty mean. ,NON-P,Snow White ,sneezy,1937,168
EARLY,"she's an old witch ! i'm warnin' ya ! if the queen finds her here, she'll swoop down... and wreak her vengeance on us ! ",NON-P,Snow White ,grumpy,1937,169
EARLY,but she doesn't know where i am. ,PRINCESS,Snow White ,snow white,1937,170
EARLY,"she don't, huh ? she knows everything. she's full of black magic. she can even make herself invisible. pfft ! might be in this room right now. ",NON-P,Snow White ,grumpy,1937,171
EARLY,"oh, she'll never find me here. and if you let me stay, i'll keep house for you. i'll wash and sew and sweep and cook and ",PRINCESS,Snow White ,snow white,1937,172
EARLY,cook ? ,NON-P,Snow White ,all dwarfs,1937,173
EARLY,"can ya make dapple lumpkinsuh, lumple dapplins apple dumplings ! ",NON-P,Snow White ,doc,1937,174
EARLY,apple dumplings ! ,NON-P,Snow White ,grumpy & sneezy,1937,175
EARLY,"ah, yes ! crapple dumpkins. ",NON-P,Snow White ,doc,1937,176
EARLY,"yes, and plum pudding and gooseberry pie ",PRINCESS,Snow White ,snow white,1937,177
EARLY,gooseberry pie ? hurray ! she stays ! ,NON-P,Snow White ,all dwarfs,1937,178
EARLY,ah ! soup ! ,NON-P,Snow White ,grumpy,1937,179
EARLY,hurray ! ,NON-P,Snow White ,all dwarfs,1937,180
EARLY,"uh, uh, uh, just a minute. supper's not quite ready. you'll just have time to wash. ",PRINCESS,Snow White ,snow white,1937,181
EARLY,wash ? ,NON-P,Snow White ,all dwarfs,1937,182
EARLY,hah ! knew there's a catch to it ! ,NON-P,Snow White ,grumpy,1937,183
EARLY,why wash ? ,NON-P,Snow White ,bashful,1937,184
EARLY,what for ? we ain't goin' nowhere. ,NON-P,Snow White ,happy,1937,185
EARLY,'tain't new year. ,NON-P,Snow White ,doc,1937,186
EARLY,"oh, perhaps you have washed. ",PRINCESS,Snow White ,snow white,1937,187
EARLY,"perhaps we yes, perhaps we have. but when ? when ? uh, when ? uh, you said, when ? why, last weekuh, monthyearwhy, recently. ",NON-P,Snow White ,doc,1937,188
EARLY,"yes, recently. ",NON-P,Snow White ,all dwarfs,1937,189
EARLY,"oh, recently. let me see your hands. let me see your hands. why, doc, i'm surprised. ",PRINCESS,Snow White ,snow white,1937,190
EARLY,"come on. let's see them. oh, bashful, my, my, my ! and you ? tsk, tsk, tsk ! ",PRINCESS,Snow White ,snow white,1937,191
EARLY,worse than i thought. faoh ! ,PRINCESS,Snow White ,snow white,1937,192
EARLY,"how shocking. tsk, tsk, tsk ! goodness me, this will never do. march straight outside and wash, or you'll not get a bite to eat. ",PRINCESS,Snow White ,snow white,1937,193
EARLY,hah ! ,NON-P,Snow White ,grumpy,1937,194
EARLY,"well, aren't you going to wash ? what's the matter ? cat got your tongue ? ",PRINCESS,Snow White ,snow white,1937,195
EARLY,"oh, did you hurt yourself ? hmph ! ",PRINCESS,Snow White ,snow white,1937,196
EARLY,"hah, women ! ",PRINCESS,Snow White ,snow white,1937,197
EARLY,"courage, men, courage ! don't be nervous. ",NON-P,Snow White ,doc,1937,198
EARLY,"gosh, it's wet. ",NON-P,Snow White ,happy,1937,199
EARLY,it's cold too ! ,NON-P,Snow White ,sleepy,1937,200
EARLY,"we ain't gonna do it, are we ? ",NON-P,Snow White ,bashful,1937,201
EARLY,"well, iit'll please the princess. ",NON-P,Snow White ,doc,1937,202
EARLY,i'll take a chance for her. ,NON-P,Snow White ,happy,1937,203
EARLY,me too ! ,NON-P,Snow White ,all dwarfs,1937,204
EARLY,"hah ! her wiles are beginnin' to work. but i'm warnin' ya, you give 'em an inch, and they'll walk all over ya ! ",NON-P,Snow White ,grumpy,1937,205
EARLY,"don't listen to that old warthog. come on now, men. ",NON-P,Snow White ,doc,1937,206
EARLY,how hard do ya scrub ? ,NON-P,Snow White ,sleepy,1937,207
EARLY,do beards count ? ,NON-P,Snow White ,sneezy,1937,208
EARLY,do ya get in the tub ? ,NON-P,Snow White ,happy,1937,209
EARLY,do ya have to wash where it doesn't show ? ,NON-P,Snow White ,bashful,1937,210
EARLY,"now, now, now, don't get excited. here we go. ",NON-P,Snow White ,doc,1937,211
EARLY,step up to the tub 'tain't no disgrace just pull up your sleeves and get 'em in place then scoop up the water and rub it on your face and go ,NON-P,Snow White ,doc,1937,212
EARLY,"pick up the soap now, don't try to bluff work up a lather and when you got enough get your hands full of water and you snort and you snuff and go ",NON-P,Snow White ,doc,1937,213
EARLY,you douse and you souse rub and ya scrub you sputter and splash all over the tub ,NON-P,Snow White ,doc,1937,214
EARLY,you may be cold and wet when you're done but ya gotta admit it's good and clean fun so splash all ya like 'tain't any trick as soon as you're through you'll feel mighty slick bunch of old nanny goats ya make me sick going ,NON-P,Snow White ,doc,1937,215
EARLY,"hah ! next thing ya know... she'll be tyin' your beards up in pink ribbons... and smellin' ya up with that stuff called, uh, perfoom. hah ! ",NON-P,Snow White ,doc,1937,216
EARLY,"a fine bunch of water lilies you turned out to be. i'd like to see anybody make me wash, if i didn't wanna ahem. ",NON-P,Snow White ,doc,1937,217
EARLY,get him ! grumpy hey ! let go of me ! ,NON-P,Snow White ,doc,1937,218
EARLY,get him over to the tub. get him over to the tub. ,NON-P,Snow White ,doc,1937,219
EARLY,"let me loose, you fools ! let me loose ! ",NON-P,Snow White ,grumpy,1937,220
EARLY,"get 'im up on the tub. get 'im up ! hang onto 'im ! get him up on the tub. the tub, the tub ! don't get excited ! don't get ",NON-P,Snow White ,various dwarfs,1937,221
EARLY,get the soap ! ,NON-P,Snow White ,various dwarfs,1937,222
EARLY,"oh ! steady, men ! we'll get him there. ",NON-P,Snow White ,doc,1937,223
EARLY,"now scrub good and hard it can't be denied that he'll look mighty cute as soon as he's dried well, it's good for the soul and it's good for the hide ",NON-P,Snow White ,doc,1937,224
EARLY,ain't he sweet ? ,NON-P,Snow White ,all dwarfs,1937,225
EARLY,smells like a petunia. ,NON-P,Snow White ,sneezy,1937,226
EARLY,he sure is cute. ,NON-P,Snow White ,happy,1937,227
EARLY,you'll pay dearly for this ! ,NON-P,Snow White ,grumpy,1937,228
EARLY,supper ! ,PRINCESS,Snow White ,snow white,1937,229
EARLY,supper ! ,NON-P,Snow White ,doc,1937,230
EARLY,food ! hurray ! ,NON-P,Snow White ,all dwarfs,1937,231
EARLY,hah ! ,NON-P,Snow White ,grumpy,1937,232
EARLY,"magic mirror on the wall, who now is the fairest one of all ? over the seven jewelled hills, beyond the seventh fall, in the cottage of the seven dwarfs, dwells snow white, fairest one of all. ",NON-P,Snow White ,queen,1937,233
EARLY,"snow white lies dead in the forest. the huntsman has brought me proof. behold, her heart. ",NON-P,Snow White ,queen,1937,234
EARLY,"snow white still lives, the fairest in the land. 'tis the heart of a pig you hold in your hand. ",NON-P,Snow White ,mirror,1937,235
EARLY,"the heart of a pig ! then i've been tricked ! the heart of a pig ! the blundering fool ! i'll go myself to the dwarfs' cottage... in a disguise so complete no one will ever suspect. now, a formula to transform my beauty into ugliness. change my queenly raiment to a peddler's cloak. mummy dustto make me old. to shroud my clothes, the black of night. to age my voice, an old hag's cackle. ",NON-P,Snow White ,queen,1937,236
EARLY,"to whiten my hair, a scream of fright. ",NON-P,Snow White ,queen,1937,237
EARLY,"a blast of wind... to fan my hate ! a thunderbolt... to mix it well. now... begin thy magic spell. look ! my hands ! my voice ! my voice ! a perfect disguise. and now, a special... sort of death for one so fair. what shall it be ? ah ! a poisoned apple ! sleeping death. one taste of the poisoned apple... and the victim's eyes will close forever... in the sleeping death. ",NON-P,Snow White ,queen,1937,238
EARLY,"yodel holalaeeay holalaeeay holalaeeayeela eeayeeleeay holalaeeay holalaeeay holalaeeayeela leeayleeoleeay i'd like to dance and tap my feet, but they won't keep in rhythm you see, i washed 'em both today and i can't do nothin' with 'em hohum, the tune is dumb the words don't mean a thing isn't this a silly song for anyone to sing i oh, ggosh ! i chased a polecat up a tree way out upon a limb and when he got the best of me i got the worst of him hohum, the tune is dumb the words don't mean a thing isn't this a silly song for anyone to sing ahhh ",NON-P,Snow White ,queen,1937,239
EARLY,be careful. watch out. bebe carewatch it ! watch it ! ,NON-P,Snow White ,sneezy,1937,240
EARLY,hey ! hey ! hey ! hey ! ,NON-P,Snow White ,sneezy,1937,241
EARLY,ahchahch ah ah ahch ahch ahch ah ah ahchooooo ! ,NON-P,Snow White ,sneezy,1937,242
EARLY,that was fun. ,PRINCESS,Snow White ,snow white,1937,243
EARLY,now you do somethin'. ,NON-P,Snow White ,happy,1937,244
EARLY,"well, what shall i do ? ",PRINCESS,Snow White ,snow white,1937,245
EARLY,tell us a story. ,NON-P,Snow White ,sleepy,1937,246
EARLY,yes ! tell us a story ! ,NON-P,Snow White ,all dwarfs,1937,247
EARLY,a true story. ,NON-P,Snow White ,happy,1937,248
EARLY,a love story. ,NON-P,Snow White ,bashful,1937,249
EARLY,"well, once there was a princess. ",PRINCESS,Snow White ,snow white,1937,250
EARLY,was the princess you ? ,NON-P,Snow White ,doc,1937,251
EARLY,and she fell in love. ,PRINCESS,Snow White ,snow white,1937,252
EARLY,was it hard to do ? ,NON-P,Snow White ,sneezy,1937,253
EARLY,"oh, it was very easy. anyone could see that the prince was charming. the only one for me. ",PRINCESS,Snow White ,snow white,1937,254
EARLY,"was he, uh, strong and handsome ? ",NON-P,Snow White ,doc,1937,255
EARLY,was he big and tall ? ,NON-P,Snow White ,sleepy,1937,256
EARLY,there's nobody like him... anywhere at all. ,PRINCESS,Snow White ,snow white,1937,257
EARLY,did he say he loved ya ? ,NON-P,Snow White ,bashful,1937,258
EARLY,did he steal a kiss ? ,NON-P,Snow White ,happy,1937,259
EARLY,he was so romantic i could not resist some day my prince will come some day we'll meet again and away to his castle we'll go to be happy forever i know ,NON-P,Snow White ,happy,1937,260
EARLY,hah ! mush. ,NON-P,Snow White ,grumpy,1937,261
EARLY,some day when spring is here we'll find our love anew and the birds will sing and wedding bells will ring some day when my dreams come true ,PRINCESS,Snow White ,snow white,1937,262
EARLY,"oh, my goodness, it's past bedtime. go right upstairs to bed. ",PRINCESS,Snow White ,snow white,1937,263
EARLY,"wait ! hold on there, men. the, uh, princess will sleep in our beds upstairs. ",NON-P,Snow White ,doc,1937,264
EARLY,but... where will you sleep ? ,PRINCESS,Snow White ,snow white,1937,265
EARLY,"oh, we'll be quite comfortable down here... in, uh, in, uh ",NON-P,Snow White ,doc,1937,266
EARLY,in a pig's eye ! ,NON-P,Snow White ,grumpy,1937,267
EARLY,"in a pig's eyestyno ! no ! i mean we'll be comfortable, won't we, men ? ",NON-P,Snow White ,doc,1937,268
EARLY,"oh, yes, mighty comfortable. ",NON-P,Snow White ,all dwarfs,1937,269
EARLY,"now, don't you worry about us. ",NON-P,Snow White ,doc,1937,270
EARLY,we'll be all right. ,NON-P,Snow White ,happy,1937,271
EARLY,"go right on up now, uh, uh, my dear. ",NON-P,Snow White ,doc,1937,272
EARLY,"well, if you insist. good night. ",PRINCESS,Snow White ,snow white,1937,273
